Problem Div,Problem Type,Average,StdDev,Attempted,Correct,Percent Correct
check-guess,ActiveCode,86.08450704225352,59.460850620717125,73,71,0.9726027397260274
alarm_clock,ActiveCode,128.22222222222223,92.44535342122734,68,63,0.9264705882352942
get-grade,ActiveCode,95.0,65.95226677330592,137,135,0.9854014598540146
get-middle,ActiveCode,111.41538461538461,93.32351196035962,80,65,0.8125
speeding,ActiveCode,115.86567164179104,88.4679184314151,76,67,0.881578947368421
retention_13_F17_q13,ActiveCode,99.36697247706422,82.5446748344617,127,109,0.8582677165354331
retention_14_F16_q21,ActiveCode,105.85046728971963,85.57902711444582,123,107,0.8699186991869918
retention_F17_q14A,ActiveCode,117.01904761904763,66.64169129242607,116,105,0.9051724137931034
SI206-Win20_scratch_ac,ActiveCode,0,0,4,0,0.0
Turtle_For,ActiveCode,0,0,1,0,0.0
loop-avg-drop-lowest-write,ActiveCode,117.10606060606061,103.1772379172966,76,66,0.868421052631579
sorta-sum-fix,ActiveCode,51.08620689655172,47.62620702812967,59,58,0.9830508474576272
loop-sum-odd-write,ActiveCode,97.46376811594203,76.06664641850068,72,69,0.9583333333333334
sum13-write,ActiveCode,101.72307692307692,96.05036239069905,72,65,0.9027777777777778
filter_words_write,ActiveCode,94.76811594202898,75.30899972144883,70,69,0.9857142857142858
remove_dups,ActiveCode,99.17241379310344,87.70040660875144,134,116,0.8656716417910447
first-two-fix,ActiveCode,54.77777777777778,48.9214490392571,54,54,1.0
temp-to-string-fix,ActiveCode,83.96153846153847,69.91842909418439,52,52,1.0
get-index-duplicate-fix,ActiveCode,103.89473684210526,83.17574668384627,51,38,0.7450980392156863
temp-fix,ActiveCode,52.44897959183673,41.31689587025799,51,49,0.9607843137254902
carClass-Write,ActiveCode,134.87012987012986,80.94903377879042,82,77,0.9390243902439024
cardClass-fix,ActiveCode,110.224,72.88002337027352,130,125,0.9615384615384616
personClass-Write,ActiveCode,136.49056603773585,82.08570161294124,55,53,0.9636363636363636
blanked-Write,ActiveCode,104.54471544715447,82.47605236459779,130,123,0.9461538461538461
order-fix-test,ActiveCode,129.0,90.44325282729487,127,112,0.8818897637795275
exp1_q2_write,ActiveCode,121.51351351351352,83.51904765820005,86,74,0.8604651162790697
exp1_q4_total_values,ActiveCode,67.35365853658537,64.98325937343817,88,82,0.9318181818181818
exp1_q1_write,ActiveCode,89.2542372881356,63.26642984655394,77,59,0.7662337662337663
exp1_q3_write,ActiveCode,58.76119402985075,59.15211247854047,70,67,0.9571428571428572
exp1_q5_write,ActiveCode,128.36666666666667,75.46263339923954,70,60,0.8571428571428571
