Problem Div,Adaptation,Removed Distractor,Removed Indentation,Combined Blocks,Moved After Adaptation
get-middle-Parsons,27,24,19,42,33
check-guess-Parsons,2,1,1,4,2
differentProblem,0,0,0,0,0
alarm-clock-Parsons,17,9,17,44,34
speeding-Parsons,8,6,9,51,11
7_3_4_Average,1,0,1,0,0
7_5_3_Sum_100,0,0,0,0,0
7_5_5_Sum_From_50,0,0,0,0,0
7_6_1_Print-Sum-Evens,0,0,0,0,0
8_3_3_While_Countdown,1,0,1,1,0
8_2_4_While_Count_Even,0,0,0,0,0
ch88ex1muc,0,0,0,0,0
ch88ex2muc,0,0,0,0,0
ch88ex3muc,1,0,1,0,0
ch88ex4muc,0,0,0,0,0
ch88ex5muc,0,0,0,0,0
ch88ex6muc,0,0,0,0,0
ch88ex7muc,0,0,0,0,0
ch88ex8muc,0,0,0,0,0
ch88ex9muc,0,0,0,0,0
ch88ex10muc,0,0,0,0,0
10_1_2_Rectangle,2,1,1,0,2
10_2_2_Triangle,0,0,0,0,0
10_3_1_Turtle_Spiro,7,5,6,5,6
10_3_2_Turtle_Spiro_Blue_Red,1,1,0,0,0
10_4_1_turtle-stamp,3,1,3,1,2
10_4_2_turtle-circle,3,2,3,3,3
10_5_1_turtle-x,4,1,4,9,1
10_5_2_turtle-squares,2,3,2,4,3
5_1_1_Turtle_L,5,3,0,17,6
5_1_2_Turtle_Check,0,0,0,0,0
5_2_1_Turtle-T,4,2,0,5,1
5_2_2_Turtle-A,4,2,0,5,0
loop_avg_drop_lowest,0,0,0,0,0
sum-odd-parsons,7,9,4,6,10
filter_words-Parsons,5,3,2,0,1
sum13-parsons,28,20,25,47,32
6_3_3_Triangle_Procedure,0,0,0,0,0
5_2_1_DrawZ,0,0,0,0,0
5_2_1_DrawN,1,1,0,0,0
5_3_1_DrawF,1,1,0,2,2
5_3_2_DrawA,3,5,0,4,3
5_4_2_JandT,2,2,0,2,3
5_4_3_JandT2,0,0,0,0,0
5_5_1_Turtle_House,1,1,0,0,1
5_5_2_Turtle_House2,0,0,0,0,0
ch5ex1muc,0,0,0,0,0
ch5ex2muc,0,0,0,0,0
ch5ex3muc,0,0,0,0,0
ch5ex4muc,0,0,0,0,0
ch5ex5muc,2,1,0,2,2
ch5ex6muc,0,0,0,0,0
ch5ex7muc,0,0,0,0,0
turtleRep1,0,0,0,0,0
turtleRep2,0,0,0,0,0
turtleRep3,0,0,0,0,0
turtle-spiral-Parsons,0,0,0,0,0
pNumGuess1v2,41,21,50,136,40
pItem1,6,8,8,10,3
pPersonClass1,8,12,5,12,6
pCar1,7,6,6,7,12
unittest-car,45,55,50,166,69
unittest-square,20,9,20,41,16
unittest-sum,37,0,51,180,43
count_lines-Parsons,30,21,24,25,19
count_subject-Parsons,58,0,64,151,62
mt1dict1,8,8,6,4,12
mt1dictcolors,7,6,3,1,7
pItemmt1,1,1,0,0,1
mt1turtrect,2,0,2,1,2
list_loop_mt1,4,5,2,0,6
write-modified-Parsons,22,0,25,51,15
top-ten-Parsons,66,92,78,292,103
max_poll2-Parsons,29,0,31,26,21
ch3ex1muc,0,0,0,0,0
ch3ex2muc,0,0,0,0,0
ch3ex3muc,0,0,0,0,0
ch3ex4muc,0,0,0,0,0
ch3ex5muc,0,0,0,0,0
ch3ex6muc,0,0,0,0,0
ch3ex7muc,0,0,0,0,0
ch3ex8muc,0,0,0,0,0
ch3ex9muc,0,0,0,0,0
ch3ex10muc,0,0,0,0,0
ch3ex11muc,0,0,0,0,0
ch3ex12muc,1,0,0,1,0
ch4ex1muc,0,0,0,0,0
ch4ex2muc,0,0,0,0,0
ch4ex3muc,0,0,0,0,0
ch4ex4muc,0,0,0,0,0
ch4ex5muc,0,0,0,0,0
ch4ex6muc,0,0,0,0,0
ch4ex7muc,0,0,0,0,0
ch4ex8muc,0,0,0,0,0
ch4ex9muc,0,0,0,0,0
ch4ex10muc,0,0,0,0,0
ch17ex1muc,0,0,0,0,0
ch17ex2muc,0,0,0,0,0
ch17ex3muc,0,0,0,0,0
ch17ex4muc,0,0,0,0,0
ch17ex5muc,0,0,0,0,0
ch17ex6muc,0,0,0,0,0
ch17ex7muc,0,0,0,0,0
ch16ex1muc,0,0,0,0,0
ch16ex2muc,0,0,0,0,0
ch16ex3muc,0,0,0,0,0
ch16ex4muc,0,0,0,0,0
ch16ex5muc,0,0,0,0,0
ch16ex6muc,0,0,0,0,0
ch16ex7muc,0,0,0,0,0
18_3_1_printInfoForCity,0,0,0,0,0
midtermRegexCountSumsv2,52,95,55,182,81
htmlp1-v2,29,0,30,63,26
htmlp2,41,0,46,94,30
htmlp3,25,0,27,41,12
htmlp4,26,0,29,78,13
htmlp5,21,0,24,63,12
midtermFiindMonth,35,45,32,113,43
midtermRegexCountSums,29,14,24,41,36
p-regex_get_hosts,26,13,23,40,19
midtermGetLines,8,9,5,2,6
xml1,4,0,0,4,1
xml_1,30,21,31,45,27
xml_2,33,25,30,32,25
json_read_file1,50,49,48,113,58
json_list1,25,30,22,34,23
json_req1,56,0,65,221,57
json_pp1,39,34,0,24,30
json_pp2,65,0,71,233,65
dbsel1,31,30,21,33,15
db2exv2,76,22,77,167,68
exp1_pp1a,53,73,44,64,63
exp1_pp3,0,0,0,0,0
exp1_q5_pp,14,13,13,19,11
Count_Target_In_Range_Order,17,23,14,14,22
Total_Dict_Values_PP,2,3,1,0,1
plot_pp1,3,0,0,3,0
3_6_1_Ketchup_Speed,0,0,0,0,0
3_7_4_Per_Person_Cost,0,0,0,0,0
6_4_4_Draw_Squares,0,0,0,0,0
