Problem Div,Problem Type,Average,StdDev,Attempted,Correct,Percent Correct
get-middle-Parsons,Parsons,154.2537313432836,84.49392004011241,70,67,0.9571428571428572
check-guess-Parsons,Parsons,90.77380952380952,56.37810204442817,85,84,0.9882352941176471
alarm-clock-Parsons,Parsons,154.29333333333332,78.70948521660564,77,75,0.974025974025974
speeding-Parsons,Parsons,158.03125,84.83840264580695,68,64,0.9411764705882353
7_3_4_Average,Parsons,37.22222222222222,48.08035601907119,37,36,0.972972972972973
7_5_3_Sum_100,Parsons,21.03448275862069,38.4005977991235,30,29,0.9666666666666667
7_5_5_Sum_From_50,Parsons,20.785714285714285,10.436251430247546,29,28,0.9655172413793104
7_6_1_Print-Sum-Evens,Parsons,41.03846153846154,43.779886495267,27,26,0.9629629629629629
8_3_3_While_Countdown,Parsons,22.6,20.22992832414391,25,25,1.0
8_2_4_While_Count_Even,Parsons,36.21739130434783,59.77986626839503,23,23,1.0
ch88ex1muc,Parsons,9.0,3.0,3,3,1.0
ch88ex2muc,Parsons,13.333333333333334,6.429100507328637,3,3,1.0
ch88ex3muc,Parsons,89.33333333333333,95.9235806949122,3,3,1.0
ch88ex4muc,Parsons,77.5,16.263455967290593,2,2,1.0
ch88ex5muc,Parsons,13.5,4.949747468305833,2,2,1.0
ch88ex6muc,Parsons,13.5,2.1213203435596424,2,2,1.0
ch88ex7muc,Parsons,16.5,10.606601717798213,2,2,1.0
ch88ex8muc,Parsons,19.5,6.363961030678928,2,2,1.0
ch88ex9muc,Parsons,22.5,3.5355339059327378,2,2,1.0
ch88ex10muc,Parsons,8.0,5.656854249492381,2,2,1.0
10_1_2_Rectangle,Parsons,104.35714285714286,54.935776689144575,15,14,0.9333333333333333
10_2_2_Triangle,Parsons,27.454545454545453,16.866319316102352,12,11,0.9166666666666666
10_3_1_Turtle_Spiro,Parsons,124.93333333333334,58.45201532229744,16,15,0.9375
10_3_2_Turtle_Spiro_Blue_Red,Parsons,49.6,28.856734241960076,11,10,0.9090909090909091
10_4_1_turtle-stamp,Parsons,82.45454545454545,31.014073051966704,12,11,0.9166666666666666
10_4_2_turtle-circle,Parsons,134.44444444444446,87.78255964471404,10,9,0.9
10_5_1_turtle-x,Parsons,100.44444444444444,41.77652184873434,10,9,0.9
10_5_2_turtle-squares,Parsons,137.71428571428572,72.91710884219671,8,7,0.875
5_1_1_Turtle_L,Parsons,71.36111111111111,41.95313901266355,38,36,0.9473684210526315
5_1_2_Turtle_Check,Parsons,38.93103448275862,23.56742763477162,30,29,0.9666666666666667
5_2_1_Turtle-T,Parsons,81.85714285714286,60.577293316955526,30,28,0.9333333333333333
5_2_2_Turtle-A,Parsons,131.26315789473685,80.78011451208023,22,19,0.8636363636363636
loop_avg_drop_lowest,Parsons,101.42465753424658,51.2122266782008,75,73,0.9733333333333334
sum-odd-parsons,Parsons,79.45333333333333,59.60461920548298,75,75,1.0
filter_words-Parsons,Parsons,84.02739726027397,59.44207558687786,74,73,0.9864864864864865
sum13-parsons,Parsons,164.54285714285714,88.22380724969575,73,70,0.958904109589041
6_3_3_Triangle_Procedure,Parsons,34.0,7.0710678118654755,2,2,1.0
5_2_1_DrawZ,Parsons,60.35,30.262491983520317,21,20,0.9523809523809523
5_2_1_DrawN,Parsons,48.0,28.25097603727743,18,18,1.0
5_3_1_DrawF,Parsons,92.8,36.48130636758659,16,15,0.9375
5_3_2_DrawA,Parsons,75.6,40.698894333875955,16,15,0.9375
5_4_2_JandT,Parsons,70.61538461538461,41.45587706935825,15,13,0.8666666666666667
5_4_3_JandT2,Parsons,54.53846153846154,53.23159366487692,14,13,0.9285714285714286
5_5_1_Turtle_House,Parsons,65.85714285714286,23.848422437286132,17,14,0.8235294117647058
5_5_2_Turtle_House2,Parsons,30.142857142857142,23.164485890979893,15,14,0.9333333333333333
ch5ex1muc,Parsons,17.25,4.924428900898052,4,4,1.0
ch5ex2muc,Parsons,11.0,4.358898943540674,3,3,1.0
ch5ex3muc,Parsons,11.666666666666666,6.658328118479393,3,3,1.0
ch5ex4muc,Parsons,5.666666666666667,2.0816659994661326,3,3,1.0
ch5ex5muc,Parsons,57.5,9.192388155425117,3,2,0.6666666666666666
ch5ex6muc,Parsons,27.333333333333332,14.011899704655802,3,3,1.0
ch5ex7muc,Parsons,16.666666666666668,5.686240703077327,3,3,1.0
turtleRep1,Parsons,92.04580152671755,56.823595125673435,133,131,0.9849624060150376
turtleRep2,Parsons,51.534351145038165,32.846800033798786,133,131,0.9849624060150376
turtleRep3,Parsons,113.424,72.03272822463325,133,125,0.9398496240601504
turtle-spiral-Parsons,Parsons,97.5275590551181,59.59397364489258,133,127,0.9548872180451128
pNumGuess1v2,Parsons,160.96153846153845,77.1772754285614,133,130,0.9774436090225563
pItem1,Parsons,62.92307692307692,44.168215339462236,131,130,0.9923664122137404
pPersonClass1,Parsons,96.66279069767442,65.36910773628496,88,86,0.9772727272727273
pCar1,Parsons,98.01785714285714,57.177074576641786,57,56,0.9824561403508771
unittest-car,Parsons,151.8409090909091,77.95837894685991,134,132,0.9850746268656716
unittest-square,Parsons,130.51908396946564,61.954245045472334,132,131,0.9924242424242424
unittest-sum,Parsons,146.70542635658916,76.56955611370365,132,129,0.9772727272727273
count_lines-Parsons,Parsons,119.29007633587786,61.57990288417884,131,131,1.0
count_subject-Parsons,Parsons,142.57142857142858,70.83518092828491,129,126,0.9767441860465116
mt1dict1,Parsons,72.53076923076924,37.92305315562036,130,130,1.0
mt1dictcolors,Parsons,58.784615384615385,37.30286366283188,130,130,1.0
pItemmt1,Parsons,43.03076923076923,28.046456052024038,130,130,1.0
mt1turtrect,Parsons,51.215384615384615,42.08720820881524,130,130,1.0
list_loop_mt1,Parsons,55.46153846153846,38.62423905497724,130,130,1.0
write-modified-Parsons,Parsons,94.016,52.01255803696245,126,125,0.9920634920634921
top-ten-Parsons,Parsons,139.44915254237287,89.44210728080614,121,118,0.9752066115702479
max_poll2-Parsons,Parsons,96.92561983471074,51.10514737435232,122,121,0.9918032786885246
ch3ex1muc,Parsons,7.5,0.7071067811865476,2,2,1.0
ch3ex2muc,Parsons,17.0,7.0710678118654755,2,2,1.0
ch3ex3muc,Parsons,22.0,1.4142135623730951,2,2,1.0
ch3ex4muc,Parsons,11.0,1.4142135623730951,2,2,1.0
ch3ex5muc,Parsons,25.0,0.0,1,1,1.0
ch3ex6muc,Parsons,13.0,0.0,1,1,1.0
ch3ex7muc,Parsons,46.0,0.0,1,1,1.0
ch3ex8muc,Parsons,6.0,0.0,1,1,1.0
ch3ex9muc,Parsons,10.0,0.0,1,1,1.0
ch3ex10muc,Parsons,33.0,0.0,1,1,1.0
ch3ex11muc,Parsons,39.0,0.0,1,1,1.0
ch3ex12muc,Parsons,55.0,0.0,2,1,0.5
ch4ex1muc,Parsons,16.0,0.0,1,1,1.0
ch4ex2muc,Parsons,17.0,0.0,1,1,1.0
ch4ex3muc,Parsons,6.0,0.0,1,1,1.0
ch4ex4muc,Parsons,7.0,0.0,1,1,1.0
ch4ex5muc,Parsons,5.0,0.0,1,1,1.0
ch4ex6muc,Parsons,5.0,0.0,1,1,1.0
ch4ex7muc,Parsons,8.0,0.0,1,1,1.0
ch4ex8muc,Parsons,5.0,0.0,1,1,1.0
ch4ex9muc,Parsons,9.0,0.0,1,1,1.0
ch4ex10muc,Parsons,7.0,0.0,1,1,1.0
