Problem Div,Problem Type,Average,StdDev,Attempted,Correct,Percent Correct
get-middle-Parsons,Parsons,3346.6119402985073,13129.756944547207,70,67,0.9571428571428572
check-guess-Parsons,Parsons,2738.5542168674697,12467.316634101806,84,83,0.9880952380952381
alarm-clock-Parsons,Parsons,5986.77027027027,20055.7526277886,76,74,0.9736842105263158
speeding-Parsons,Parsons,764.640625,3031.9824274273383,68,64,0.9411764705882353
7_3_4_Average,Parsons,37.166666666666664,48.06037869180808,37,36,0.972972972972973
7_5_3_Sum_100,Parsons,21.03448275862069,38.4005977991235,29,29,1.0
7_5_5_Sum_From_50,Parsons,20.785714285714285,10.436251430247546,28,28,1.0
7_6_1_Print-Sum-Evens,Parsons,41.03846153846154,43.779886495267,26,26,1.0
8_3_3_While_Countdown,Parsons,22.6,20.22992832414391,25,25,1.0
8_2_4_While_Count_Even,Parsons,35.73913043478261,57.741758476312086,23,23,1.0
ch88ex1muc,Parsons,9.0,3.0,3,3,1.0
ch88ex2muc,Parsons,13.333333333333334,6.429100507328637,3,3,1.0
ch88ex3muc,Parsons,89.33333333333333,95.9235806949122,3,3,1.0
ch88ex4muc,Parsons,77.5,16.263455967290593,2,2,1.0
ch88ex5muc,Parsons,13.5,4.949747468305833,2,2,1.0
ch88ex6muc,Parsons,13.5,2.1213203435596424,2,2,1.0
ch88ex7muc,Parsons,16.5,10.606601717798213,2,2,1.0
ch88ex8muc,Parsons,19.5,6.363961030678928,2,2,1.0
ch88ex9muc,Parsons,22.5,3.5355339059327378,2,2,1.0
ch88ex10muc,Parsons,8.0,5.656854249492381,2,2,1.0
10_1_2_Rectangle,Parsons,126.07142857142857,119.88678267157168,14,14,1.0
10_2_2_Triangle,Parsons,27.454545454545453,16.866319316102352,11,11,1.0
10_3_1_Turtle_Spiro,Parsons,118.13333333333334,55.67362374547197,15,15,1.0
10_3_2_Turtle_Spiro_Blue_Red,Parsons,51.22222222222222,29.735407252036154,10,9,0.9
10_4_1_turtle-stamp,Parsons,82.27272727272727,30.945406473630005,11,11,1.0
10_4_2_turtle-circle,Parsons,133.44444444444446,86.89952691342904,9,9,1.0
10_5_1_turtle-x,Parsons,133.88888888888889,83.44226214042324,9,9,1.0
10_5_2_turtle-squares,Parsons,137.71428571428572,72.91710884219671,7,7,1.0
5_1_1_Turtle_L,Parsons,79.80555555555556,55.87732453174003,37,36,0.972972972972973
5_1_2_Turtle_Check,Parsons,38.93103448275862,23.56742763477162,29,29,1.0
5_2_1_Turtle-T,Parsons,81.85714285714286,60.577293316955526,30,28,0.9333333333333333
5_2_2_Turtle-A,Parsons,140.42105263157896,105.19892045785011,22,19,0.8636363636363636
loop_avg_drop_lowest,Parsons,382.6478873239437,1528.568584363363,73,71,0.9726027397260274
sum-odd-parsons,Parsons,1547.36,9860.65193234255,75,75,1.0
filter_words-Parsons,Parsons,103.89041095890411,107.45006096423424,74,73,0.9864864864864865
sum13-parsons,Parsons,3625.9710144927535,15412.197906939713,71,69,0.971830985915493
6_3_3_Triangle_Procedure,Parsons,34.0,7.0710678118654755,2,2,1.0
5_2_1_DrawZ,Parsons,60.35,30.262491983520317,21,20,0.9523809523809523
5_2_1_DrawN,Parsons,71.38888888888889,101.47972204794466,18,18,1.0
5_3_1_DrawF,Parsons,229.4,462.42772408236937,15,15,1.0
5_3_2_DrawA,Parsons,78.13333333333334,42.40597442185083,15,15,1.0
5_4_2_JandT,Parsons,70.61538461538461,41.45587706935825,13,13,1.0
5_4_3_JandT2,Parsons,54.53846153846154,53.23159366487692,13,13,1.0
5_5_1_Turtle_House,Parsons,65.85714285714286,23.848422437286132,15,14,0.9333333333333333
5_5_2_Turtle_House2,Parsons,30.142857142857142,23.164485890979893,14,14,1.0
ch5ex1muc,Parsons,17.25,4.924428900898052,4,4,1.0
ch5ex2muc,Parsons,11.0,4.358898943540674,3,3,1.0
ch5ex3muc,Parsons,11.666666666666666,6.658328118479393,3,3,1.0
ch5ex4muc,Parsons,5.666666666666667,2.0816659994661326,3,3,1.0
ch5ex5muc,Parsons,51.0,18.384776310850235,3,2,0.6666666666666666
ch5ex6muc,Parsons,27.333333333333332,14.011899704655802,3,3,1.0
ch5ex7muc,Parsons,16.666666666666668,5.686240703077327,3,3,1.0
turtleRep1,Parsons,516.2442748091603,2990.32253236388,133,131,0.9849624060150376
turtleRep2,Parsons,304.0534351145038,2888.855105435308,133,131,0.9849624060150376
turtleRep3,Parsons,1577.704,8569.930176272941,133,125,0.9398496240601504
turtle-spiral-Parsons,Parsons,585.2834645669292,3142.1327351592477,133,127,0.9548872180451128
pNumGuess1v2,Parsons,1586.3615384615384,7306.194508881489,133,130,0.9774436090225563
pItem1,Parsons,77.75384615384615,119.05135765830738,131,130,0.9923664122137404
pPersonClass1,Parsons,104.11627906976744,80.82798272069937,88,86,0.9772727272727273
